 fcst_sys_id  stn_id  loc_id  stat_method_id  elem_id  run_date   lead_time  prdn_value
-1           1704    633     10              6        2461124.5  7.0        330.0
-1           1704    633     10              6        2461124.5  8.0        272.410804796065
-1           1704    633     10              6        2461124.5  9.0        271.127647415631
-1           1704    633     10              6        2461124.5  10.0       269.251339649136
-1           1704    633     10              6        2461124.5  11.0       268.048478984685
-1           1704    633     10              6        2461124.5  12.0       200.181716636475
-1           1704    633     10              7        2461124.5  7.0        249.246464564654
-1           1704    633     10              7        2461124.5  8.0        248.546546546546
-1           1704    633     10              7        2461124.5  9.0        335.0
-1           1704    633     10              7        2461124.5  10.0       247.165465464654
-1           1704    633     10              7        2461124.5  11.0       246.565465465456
-1           1704    633     10              7        2461124.5  12.0       246.065465454654

